V1,V2
"c,a,e,r,n,v,k","avance,avancere,avec,cancan,cancer,caravan,cava,crack,racer,raceren,rack,reck,vakance,avancen,avancerne,avancer,avancerer,avecen,avecerne,avecer,cancanen,cancanerne,cancaner,canceren,cancerne,cancere,caravanen,caravanerne,caravaner,cavaen,cavaerne,cavaer,cracken,race,racen,racerne,racene,racere,racerene,rackene,recken,reckerne,recker,vakancen,vakancerne,vakancer"
"u,c,p,h,s,l,a","alhus,applaus,aula,casual,chalup,lapsus,passus,puha,pulp,puls,pushup,slup,usus,aulas,chalups,cups,hausa,hausas,haus,huls,lups,paus,plus,pulps,push,pushups,pusl,slups,slus,spul,suls"
"m,p,o,i,s,u,k","komik,komisk,kommis,kosmisk,kosmos,mimik,mimisk,miso,miss,moms,mops,moskus,musik,musisk,opium,opossum,osmium,pomp,popmusik,pump,skum,smuk,sump,kims,komiks,miks,mimiks,misos,muks,musiks,omkom,opiums,opkom,opossums,osmiums,pimp,pomps,popmusiks,pumps,skim,skums,smisk,sums,sumps"
"t,f,k,o,i,n,l","fiktion,filt,flint,foto,foton,kiloton,kilt,kitin,klint,klit,kokkolit,konflikt,konto,kotillon,loft,lotion,lotto,nikotin,niti,otti,toft,tolk,toti,fint,finit,flinkt,flot,font,infinit,konti,lift,tilfil,tillok,tilt,tint,totn"
"l,f,u,m,r,s,o","flom,flos,fluor,flus,mols,mulm,oslo,slof,slum,solomor,solur,soul,sulfo,floms,flor,flors,fluors,forslum,fuml,loms,lumr,lurs,mosl,mulms,muml,oslos,ruml,slofs,slums,slumr,slus,sols,solo,solos,solomors,solurs,souls,suls,sulfos,surmul"
"p,u,r,o,g,s,b","opus,popo,pors,prop,purpur,spor,sprog,sprogbrug,ursprog,bops,opbrug,opspor,opsug,pogs,pops,popos,props,pubs,purs,purpurs,spors,sprogs,sprogbrugs,ursprogs"
"i,l,e,n,f,o,z","fifle,file,finne,fiol,folie,folio,info,lille,linolie,nilen,offline,olie,online,zoofili,fiffene,fifl,filen,filene,fine,finnen,fiolen,folien,infoen,ionen,leiene,lien,linene,line,linen,linolien,olien,zoofilien"
"r,k,d,l,g,i,a","aldrig,arrak,arrig,dagklar,dirk,drik,galar,grad,graddag,gral,grill,irak,kardial,kardialgi,karl,karrig,klar,klarlig,klir,kraal,krak,krig,radar,radial,raga,raid,rallik,rigid,agrar,dalr,drag,drak,dril,kildr,kril,krilr,lagr,lirk,radikal"
"h,l,u,e,d,b,o","behold,beholde,buhe,hedde,held,helhed,heluld,hobe,hold,holde,hulhed,hulle,lobhudle,udehold,udholde,udhule,uheld,buhede,hede,hele,helede,helle,hobede,huede,hule,huld,hulde,hulede,hullede,lobhudl,lobhudlede,udhold,udhul,udhulede"
"t,v,d,a,n,k,r","aktant,attak,dart,data,dravat,kant,karat,katar,katarakt,krat,kravat,kvadrant,kvadrat,kvant,natravn,taktart,tand,tant,tara,tartan,tarv,tatar,traktat,tran,trav,vakant,vandkant,vankant,drat,kart,krankt,kvanta,kvart,rankt,rart,randt,rakt,takt,tank,trak,tvandt,vant,vart,vatr,vandt,vakt"
"g,p,b,y,s,o,e","bebygge,begge,boge,bogey,byge,bygge,gogo,gyse,opbygge,pege,pegebog,spege,syge,bebyg,bebygges,begs,begges,bogs,boges,bogeys,bygs,byges,bygges,eges,egos,gogos,gyses,opbyg,opbygges,pegs,peges,pegebogs,pogs,poge,poges,speg,speges,syges"
"k,c,r,e,m,y,l","cykel,cykelklemme,cykle,elcykel,kele,kere,klem,klerk,kreere,kremere,krykke,krymmel,kyle,lykke,reck,rekreere,rekyl,rekylere,rykke,rykker,cykler,cykelklemmer,cykl,elcykler,keler,kerer,klemme,klemmer,klerke,kreer,kreerer,kremer,kremerer,krykker,kyler,recker,rekreer,rekreerer,rekyler,rekylerer,rykkere"
"c,e,h,k,l,a,s","acces,alsace,case,celle,check,cheesecake,hacke,kaleche,kcal,schellak,slacks,alsaces,cases,celles,checks,cheesecakes,hack,hackes,kaleches,schellaks"
"y,k,i,l,e,o,n","kinky,klynk,klynke,konkylie,kykliky,kyle,lykke,lyne,nykke,nylon,nynne,ynke,yoyo,klynkene,knyene,konkylien,lyene,lykken,lynene,nykkene,nykken,nylonen,yennen,yennene,yoyoen"
"f,a,i,l,d,r,b","affald,aflad,alfa,bifald,bifil,bifili,bilfri,blaf,fair,fald,farad,farbar,farfar,filial,firblad,flab,flad,flair,flid,frafald,ifald,riff,afbild,afblad,afflad,aflir,blafr,fabl,fifl,frabad,frir,rafl"
