V1,V2
"p,u,d,l","lup,puld,pulp,dup,pul"
"e,v,s,o","esse,ose,ses,sove,sovse,vovse,esses,oses,soves,sovses,ves,vove,voves,vovses"
"c,e,s,t","ces,cesset,cessets"
"v,g,e,a","agave,gave,vag,vage,ave,gav,veg,vege"
"s,w,o,k","kokos,koks,skok,sok,sos,kos,oks,sko,skos,skoks,soks,woks,wows"
"f,n,i,t","fif,fin,fit,fint,finit,infinit"
"n,s,y,t","nysyn,nys,nyt,nyn,nyst,nysyns,styn,syn,syns,tystn"
"g,f,u,l","fugl,glug,guf,gul,fug,gufl,lug,ugl"
"l,i,f,p","pli,fifl,fil,flip,pil"
"e,u,b,g","bebe,beg,begge,eeg,egu,gubbe,uge,bue,buge,ebbe,ege"
"s,v,r,a","sar,sav,vvs,ars,aras,arvs,ras,ravs,sars,savs,svar,svars,varvs"
"n,m,a,i","anima,mani,manna,mini,annam,min,man,minima"
"p,u,o,s","opus,pop,popo,pps,ups,pops,popos,pos,pus,sop"
"b,t,e,d","bebe,debet,edb,etb,bed,bedet,bede,bedt,bet,ebbe,ebbet,ebbede"
"r,c,a,e","ara,arre,racer,rar,aer,araer,arrer,race,racere,rare,reer"
"m,r,k,e","emme,kremere,meme,mere,emmer,kremer,kremerer,memer,rem,remme"
"l,t,e,k","kel,kele,telt,telte,elle,kelet,let,leet,lette,lettet,teltet"
"u,a,b,l","aula,blu,bul,ublu,albu,lul"
"h,s,d,i","hid,his,hids"
"h,o,t,e","hot,oho,hotte"
"o,v,s,j","sos,vov,vovvov,sjov,sjovs,sov,sovs"
"d,r,t,a","ard,dart,dat,data,ddt,radar,dada,drat,rad"
"l,f,a,k","alf,alfa,alk,falk,kalla,laf,lak,lal,lala,afkalk,flak,kalk"
"m,z,o,e","emme,meme,memo,mezzo,omme,zoome,zoom"
"o,g,v,l","glo,gogo,logo,vlog,vov,vovvov,googl,log,lov"
"i,t,h,e","hitte,hittit,thi,tie,titte,hiet,hit,hittet,tiet,tit,tittet"
"l,k,n,y","klynk,lyn,kyl"
"n,y,l,k","klynk,lyn,nyk,ynk,kny,nyn"
"s,f,i,t","sti,tis,fis,fifs,fist,sis,sit,stis,stift,stifts,tits"
"i,u,m,a","imam,umami,mim"
"s,i,n,l","sin,ils,isn,lis,lins,nis,sis,sil"
"s,f,t,i","sti,tis,fis,fifs,fist,sis,sit,stis,stift,stifts,tits"
"s,r,z,a","sar,ars,aras,ras,sars,zars"
"k,o,r,b","kor,kork,rok,rokoko,book,brok,kok,kro,kror,ork"
"t,r,y,g","tryg,tyr,trygt,tyg,ytr"
"m,a,t,u","amt,amu,atm,mama,mammut,mut,tam,tamtam,mat,tamt"
"s,j,u,p","pjus,pps,sus,ups,usus,pus,sjus"
"n,c,o,g","congo,gong,gongong,ngo"
"d,m,t,e","ddt,emde,dem,det,dette,emmede,med,mede,medet,medede,teede"
"s,u,z,o","sos,sus,usus,ouzos,zoos"
"i,d,a,n","did,din,ind,indad,nid"
"m,p,d,a","damp,mama,pampa,pappadam,dam,mad"
"l,s,u,m","lus,mulm,slum,sul,lul,mul,mulms,muml,slums,slus,suls,ulm"
"a,e,l,n","ale,alen,alene,anal,annal,elan,lal,lala,lalle,alle,alenen,anale,ane,anen,annalen"
"b,e,t,p","bebe,etb,bet,ebbe,ebbet,pebet,peb"
"d,e,j,v","dej,dvd,deje,ejede,ved,veddede,vejede"
"n,h,s,a","ananas,snas,han,hans,nas,sans"
"t,u,s,g","gut,stuts,tugt,tus,utugt,guts,sust,sut,suts,tugts,tut,tuts,utugts"
"d,o,e,g","deo,dog,doge,ged,gedde,god,odde,ode,gode"
"o,f,r,j","fjor,forfjor,fro,ror,for,ofr"
"e,a,j,p","eja,jappe,jeep,pep,peppe,eje"
"n,i,o,p","ion,nip,opinion,nop,pin"
"e,a,k,l","ale,kakkel,kel,kele,lakke,lalle,alle,alke,elle,kalke"
"u,l,i,g","glug,gul,gullig,ulig,lug,lul,ugl"
"t,d,o,n","ddt,dont,ton,not,ondt,tot,totn"
"p,d,u,r","prr,prud,purpur,dup,pudr,pur"
"s,l,u,b","blus,bus,lus,slub,sul,sus,usb,usus,buls,slubs,slus,suls"
"i,h,d,r","did,hid,hird,dir,rir,rid"
"k,o,f,r","fok,fork,kor,kork,rok,rokoko,kok,kro,kror,ork"
"s,b,y,a","abs,bas,babys,bys,sys"
"g,n,k,o","gogo,gok,gong,gongong,gonokok,ngo,kog"
"s,d,o,f","fos,odds,sfo,sod,sos,dos,fods,ods,sods"
"m,r,g,a","gamma,mag,magma,mama,arm,gram,magr,ram"
